section|content
Strategy|1: Promote quality and productivity To promote the competitiveness of Zambian products in local and international markets, the uptake of standards and quality assurance as well as adherence to sanitary and phytosanitary requirements will be enhanced and relevant institutions will be strengthened. Additionally, the Government will promote certification of organic products to enhance their competitiveness in the local and international markets. Furthermore, the Government will strengthen measures for fair competition in the domestic market and enhance consumer welfare to spur innovations and improve the quality of goods and services. Productivity improvement will also be promoted through the implementation of programmes such as Kaizen, which is proven to promote both quality and productivity. In addition, the Government will strengthen the enforcement of labour laws to enhance compliance and decent work. Decent Work which is important for ensuring industrial harmony and improved productivity. Decent work entails Promoting jobs and enterprise, guaranteeing rights at work, extending social protection and promoting social dialogue with gender as a cross-cutting theme. Decent work takes the centre stage in poverty and vulnerability reduction as well as enhancing human development. Decent work is crucial to advancing the entire sustainable development agenda The Decent work Country Programme addresses pertinent issues in the employment and labour sector and ensures adherence to the labour rights, creation of more and better employment opportunities and strengthened social protection systems in the country. Furthermore, the Programme contributes to the attainment of a just society and conducive atmosphere for the prospective job seekers, employers and a) Product standardisation and quality assurance b) Sanitary and phytosanitary compliance support c) Fair competition promotion d) Quality and productivity promotion e) Decent work promotion EIGHTH NATIONAL DEVELOPMENT PLAN (8NDP) 2022-2026 5.6.2
Strategy|2: Facilitate Increased Domestic and International Trade Facilitating access to domestic and international trade is important for private sector competitiveness. In this regard, the Government will implement measures to address trade-related bottlenecks that impede private sector competitiveness. Measures that will be taken will include supporting small and medium-size enterprises’ production lines by facilitating linkages with larger local and regional value chains. To increase trade opportunities, the Government will implement trade facilitation measures, and trade promotion and facilitate the provision of market information services for both the domestic and foreign markets. The Government will also digitise processes and regulatory requirements concerning trade facilitation and market information services. a) Coordinated border management b) Market information services c) Commodity exchange platform d) Inter-country trade centre establishment e) International cooperation and economic diplomacy f) Business regulatory environment 5.6.3
Strategy|3: Improve Access to Finance for Production and Exports Concerted efforts will be made to ease access to affordable finance, especially for MSMEs. This will include export trade finance, third party credit risk mitigation and enhancing development of capital markets to provide long-term finance. The private sector will play a key role in the development and provision of financial products to support production and trade. The Government will also strengthen the alternative investment market on the Lusaka Stock Exchange as a vehicle through which MSMEs can access long-term financing. Further, the Government will promote credit guarantee schemes. a) Credit guarantee scheme b) Capital markets development c) Impact capital investment d) Alternative finance promotion e) Trade finance facilitation f) Public-private sector joint venture g) Local-foreign joint venture and partnership
Socio-economic|transformation for improved livelihoods Strategies and Programmes 1. Promote productivity and product quality a) Product standardisation and quality assurance b) Sanitary and phytosanitary compliance support c) Fair competition promotion d) Quality and productivity promotion e) Decent work promotion 2. Facilitate increased domestic and international trade a) Coordinated border management b) Market information services c) Commodity exchange platform d) Inter-country trade centre establishment e) International cooperation and economic diplomacy f) Business regulatory environment 3. Improve access to finance for production and exports a) Credit guarantee scheme b) Capital markets development c) Impact capital investment d) Alternative finance promotion e) Trade finance facilitation f) Public-private sector joint venture g) Local-foreign joint venture and partnership EIGHTH NATIONAL DEVELOPMENT PLAN (8NDP) 2022-2026 6.0 STRATEGIC DEVELOPMENT AREA 2: HUMAN AND SOCIAL DEVELOPMENT Human and social development is fundamental to inclusive development and is a catalytic ingredient to the transformation of the country. This includes addressing the vicious cycles of poverty, inequality and vulnerability. It also entails providing equal opportunities for every citizen to develop to their full potential and effectively contribute to the development of the country. This strategic development area, therefore, addresses the need to develop human capacities, through investments and interventions in
education|and skills development;
health|and nutrition; and water and sanitation. In addition, it aims at reducing poverty, inequality and vulnerability. 6.2. CURRENT SITUATION The Government remains committed to the goal of achieving universal access to
education|as espoused by the Vision 2030 and the SDGs. In this regard, the country has made some advances in respect of gender parity and pupil-teacher ratio. At primary school level, gender parity stood at 1.03 in 2020 compared to 1.00 in 2017. Thus, in 2020, for every 100 boys enrolled in primary school, 103 girls were enrolled compared to 100 in 2017. At secondary school level, gender parity stood at 0.94 in 2020 compared to 0.90 in 2017 implying that for every 100 boys enrolled in secondary school in 2020, there were 94 girls enrolled compared to 90 in 2017. The pupil-teacher ratio at both primary and secondary school level also registered improvements. At primary school level, the pupil-teacher ratio was 56.5 pupils per teacher in 2020 from 58.5 pupils per teacher in 2017, against the internationally acceptable threshold of 40 pupils per teacher. The pupil-teacher ratio, at secondary school level, in 2020 was 26.1 pupils per teacher compared to 32.3 pupils per teacher in 2017. In contrast to the above progress, however, the net enrolment rate for primary schools stood at 81.8 percent in 2020 as compared to 87.9 percent in 2017. Equally for secondary schools, the net enrolment stood at 37.6 percent in 2020 compared to 42.9 percent in 2017. As of 2020, the Government was the largest provider of early childhood
education|(ECE) services and accounted for 62.2 percent of the total enrolment. ECE enrolments increased from 47,317 pupils in 2011 to 258,616 pupils in 2020. However, the ratio of teachers and caregivers was recorded at 1 to 80 pupils. Also the enrolment rate was low at only 11.2 percent of the total target population, well below the target of achieving universal access to ECE. Under skills development, progress was made in increasing access to vocational and skills training through the construction of training facilities in selected rural districts. Further, the Government introduced the TEVET bursary scheme to encourage and increase the number of youths taking up skills training, especially females and PWDs for whom 30 percent and 10 percent, respectively, are reserved. However, more needs to be done to enhance access to TEVET in order to reduce the skills gap in the technical workforce, as indicated by the 2020 National Skills Survey Report. The industries exhibiting high numbers of skills gaps include wholesale and retail trade, repair of motor vehicles and motorcycles, manufacturing, accommodation and food services,
education|,
agriculture|, forestry and fishing, among others. Further, Zambia’s TEVET system requires an improvement in the quality of training offered. For instance, in 2021, 62.3 percent of the registered TEVET institutions were in the grade
Socio-economic|transformation for improved livelihoods three category, which is the lowest level in the quality grading system; 29.9 percent of the institutions were in grade two; while only 7.8 percent were in grade one. The foregoing indicates the need to enhance access and quality of technical and vocational training in the country. At university level, while more universities have been established, there is a weak regulatory framework which has led to the compromise in the quality of university
education|. With the establishment of the Higher
Education|Authority, it is anticipated that the quality of tertiary
education|will improve. There is also inadequate qualified manpower to teach at tertiary level. With regards to the
health|sector, the country has made strides in improving the
health|status of citizens. The pregnancy-related mortality reduced from 398 deaths per 100,000 live births in 2013/14 to 278 deaths per 100,000 live births in 2018, while the maternal mortality ratio (MMR) was recorded at 252 deaths per 100,000 live births in 2018, which was a reduction from 398 in 2014. Similarly, under-five mortality rates reduced from 75 in 2014 to 61 per 1,000 live births in 2018. Infant mortality rate reduced from 45 in 2014 to 42 per 1,000 live births in 2018 while the child mortality rate reduced from 31 in 2014 to 19 per 1,000 live births in 2018. Despite these improvements, the mortality rates remain high. The country currently experiences a high disease burden, largely attributed to the high prevalence and incidence of infectious diseases and the increase in non-communicable diseases (NCDs). The top five causes of mortality include malaria, anaemia, cardio-vascular diseases, pneumonia and tuberculosis (TB). For instance, in 2021, Zambia recorded a total of 6,262,775 cases and 1,480 deaths due to malaria, while an estimated 59,000 people had TB. Out of these estimated number of people with TB, 50,717 were detected and commenced on anti-TB treatment. The TFR remains high at 4.7 children per woman as at 2018. Teenage pregnancies are also high at 29.0 percent mostly due to high levels of child marriages, early sexual debut, and inadequate information on reproductive
health|. This has constrained women’s participation in the economy, further leading to undesirable economic and social outcomes. Progress has been made in enhancing early childhood development and nutrition in order to mitigate the negative effects of poor nutrition on cognitive development, physical work capacity,
health|status and earnings in adulthood. The 2018 Zambia Demographic and
Health|Survey (ZDHS) showed slight improvements in nutrition indicators between 2013/14 and 2018, with stunting moving from 40 percent to 35 percent, wasting from 6 percent to 4 percent and underweight births from 15 percent to 12 percent. The improvement has been on account of nutrition programmes such as the first 1,000 critical days from conception, nurturing care for early childhood development, early childhood
education|, child immunisation and child-care and In water and sanitation, progress has been made in increasing access to clean and safe drinking water and adequate sanitation services. According to the 2018 ZDHS, the proportion of households with access to clean and safe drinking water at national level increased to 72.5 percent from 64.5 percent in 2014. For urban and rural areas, the proportion of households accessing clean water increased to 93 percent and 58 percent from 89.5 percent and 46.6 percent, respectively, in the same period. The proportion of households with access to sanitation increased to 54.4 percent in 2018 from 25.4 percent in 2014. In urban areas, access to basic sanitation increased to 77.7 percent in 2018 from 35 percent in 2014, while in rural areas access increased to 37.2 percent from 18.5 percent. This progress notwithstanding, strategic interventions are required to narrow the inequalities between urban and rural areas. EIGHTH NATIONAL DEVELOPMENT PLAN (8NDP) 2022-2026 The prevalence of poverty levels in the country is progressively reducing. Total poverty reduced to 54.4 percent in 2015 from 62.8 percent in 2006. Despite the reduction in total poverty levels, extreme poverty still remained significantly high at 40.8 percent in 2015. In rural areas, poverty was higher at 76.6 percent compared to 23.4 percent in urban areas. The Multidimensional Poverty Index also improved from 50 percent in 2014 to 44 percent in 2018. The reduction in poverty levels has in part been driven by the expansion of social protection programmes such as the Social Cash Transfer (SCT) programme and empowerment programmes that have been implemented across the country, especially in the rural areas. With regard to child protection, in 2018, 34 percent of girls and 40 percent of boys had experienced physical violence, while 51.3 percent of girls and 49 percent of boys had witnessed physical violence. In 2020 an estimated 20 percent of girls and 10 percent of boys reported sexual abuse prior to the age of 18. The attainment of human development is constrained by various factors with the inadequacy of infrastructure and human resources being the major issues. For
education|and skills development, the system is also characterised by limited furniture such as desks, lack of
education|al materials and inadequate ICT equipment to support learning. At early childhood
education|(ECE) level, factors contributing to poor quality of
education|include lack of appropriate facilities and teaching aids to allow for play and mental stimulation for early childhood learners, including those with special needs at all levels. The level of deprivation is more pronounced in rural and remote areas, thus most children enter primary school with no ECE experience. This delays their ability to acquire literacy and numeracy skills. The lack of appropriate facilities and teaching aids is also evident at primary, secondary, and tertiary
education|levels. The constraints in the
health|sector include inadequate and obsolete medical equipment and supplies; long distances to
health|centres and inadequate transport facilities; poor
health|-seeking behaviour; and low coverage of national
health|insurance. A further constraint relates to inadequate dietary diversity to promote the
health|and nutrition status of the people. In water and sanitation, the key constraint relates to inadequate and dilapidated infrastructure, especially in rural areas. Others include the increase in unplanned settlements, weak management and monitoring of water resources and unregulated access to water sources. Regarding social protection, implementation challenges included low integration of social protection programmes, lack of an integrated automated Social Protection Management Information System, poor targeting of beneficiaries and intermittent release of funds to cash transfer beneficiaries. Further, the non- enactment of appropriate legislation on matters such as social protection and child protection matters adversely affected implementation of effective interventions. The 8NDP outlines strategies and programmes to address the constraints under this strategic development 6.4
DEVELOPMENT OUTCOME|1: IMPROVED
EDUCATION|AND SKILLS DEVELOPMENT To improve
education|and skills development, the Government will focus on expanding access and
Socio-economic|transformation for improved livelihoods improving quality of early childhood, primary and secondary
education|as well as technical
education|, vocational and entrepreneurship training and higher
education|. The strategies outlined below will, therefore, 6.4.1
Strategy|1: Enhance access to Quality, Equitable and Inclusive
Education|In the Plan period, the Government will ensure that all learners have access to equitable and inclusive quality
education|that prepares them to pursue higher
education|. This will be done through the recruitment and placement of more teachers in needy areas, as well as provision of free
education|from early childhood to secondary school and provision of bursaries, using a decentralised approach. Additionally, establishment and construction of more ECE centres, secondary schools and other school infrastructure, including completion of incomplete classroom structures, and accommodation for teachers, especially in rural areas, will be undertaken. The delivery of
education|using ICT platforms will also be promoted. To ensure that schools are adequately equipped to deliver quality and relevant
education|, focus will be on enhancing the supply of
education|al requisites, including the procurement of school desks and learning materials. Further, the
education|curriculum will be reviewed to ensure that it provides life-relevant knowledge and skills and promotes the application of national values and principles. This will include building the skills of learners to increase their uptake of science and technology. The objective is, from an early age, to increase leaners’ interest in science and technology to facilitate innovation and entrepreneurship. At secondary school level, the two-tier
education|system will be promoted to provide TEVET skills to learners. This will be supported by a skills development fund. Further, programmes will be implemented to ensure provision of
education|to Learners with Special
Education|al Needs (LSEN) at all levels of the
education|system so as not to leave anyone behind. In addition, to promote inclusive lifelong learning, adult literacy will be supported. Additionally, to ensure a lifecycle approach to
education|, priority will be given to nurturing and supporting early childhood development, and facilitating a conducive learning environment for early development of literacy, numeracy and problem-solving skills. The Government will continue supporting initiatives to improve the physical and cognitive
health|outcomes for children aged between 0 and 6 years, especially during the first 1,000 days of life, which are the critical years for a child’s cognitive and
health|y long-term development, productivity, and social cohesion. Further, the Government will continue implementing initiatives aimed at keeping girls in school as well as enhancing readmission of school drop-outs, including adult learners. With the above measures, the net enrolment rate is expected to increase to 100 percent by 2026 from 81.8 percent in 2020 for primary schools, while the rate for secondary schools is targeted to increase to 60 percent from 37.6 percent. The pupil-teacher ratio is targeted to reduce from 56.5 pupils per teacher in 2020 to 45 pupils per teacher in 2026, for primary schools. For secondary schools, the goal is to attain the pupil- teacher ratio of less than 20 pupils to a teacher from the 26.1 pupils to 1 teacher in 2020 (global average is 18 pupils to 1 teacher). Adult literacy for the population aged 15-49 years is expected to increase to 85 and 90 percent by 2026 from 66.4 and 81.8 percent in 2020, for women and men, respectively. EIGHTH NATIONAL DEVELOPMENT PLAN (8NDP) 2022-2026 a) Early childhood
education|b) Primary
education|c) Inclusive
education|(LSEN) e) Secondary
education|f) Curriculum review g) Human resource development h) Infrastructure development k) Menstrual hygiene promotion 6.4.2
Strategy|2: Improve Technical, Vocational and Entrepreneurship Skills To improve vocational, technical and entrepreneurship skills, the main focus will be on strengthening the regulatory and quality assurance frameworks that will also cover vocational skills training development in the private sector. Further, there will be regular upgrading of training equipment and expansion of training facilities. In addition, the qualifications for TEVET skills will be upgraded to allow for progression. To ensure that TEVET is relevant to industry, the curriculum will regularly be reviewed to ensure that it responds to the demands of industry. Additionally, learning pathways such as work-based learning, in particular internship and apprenticeship, will be promoted. The Government will also ensure sustainable financing of the TEVET Further, the Government will scale-up and decentralise the skills development bursary scheme to the local level. This will enhance the targeting of beneficiaries as they will be identified by communities and will improve access to skills training by vulnerable youths. By the end of the Plan period, the quality of TEVET services will be improved. This improvement will mainly be achieved through the upgrading of TEVET institutions with at least 40 percent of institutions classified as grade one in 2026 from 7.8 percent in 2020. The skills gap in the different industries will also be reduced. b) Curriculum review c) Research and development d) Internship and apprenticeship e) Digital skills development f) Human resource development g) Infrastructure development
Socio-economic|transformation for improved livelihoods 6.4.3
Strategy|3: Increase access to higher
education|To increase access to public universities and other higher learning institutions, the Government will reform the bursary and student loan system so that students who cannot afford to pay fees are supported. To enhance the development of an innovative society, the bursaries and student loans will, in addition, be steered towards STEM. Investments will also be made in infrastructure and
education|-industry linkages to ensure that graduates have relevant and employable skills. The Government will further continue to create an enabling environment for the private sector to thrive in the delivery of higher
education|. a) Infrastructure development b) Human resource development c) Curriculum development d) Private sector participation promotion 6.4.4
Strategy|4: Enhance science, technology and innovation To promote science, technology and innovation, investment for research and development will be enhanced, including in institutions of higher learning. This will be done through utilisation of various funds such as the Strategic Research Fund and the Science, Technology and Innovation Youth Fund. Further, partnerships between higher learning institutions and state and non-state actors will be promoted to enhance the uptake of research. STEM
education|that promotes research, innovation, productivity and competitiveness for national and international demands will be promoted. The development and application of digital skills to support the country’s transformation to a digital economy will also be promoted. b) Research and development c) Curriculum development d) Industry linkages promotion e) Infrastructure development f) Digital skills development g) Partnership promotion EIGHTH NATIONAL DEVELOPMENT PLAN (8NDP) 2022-2026 Strategies and Programmes 1. Enhance access to quality, equitable and inclusive
education|a) Early childhood
education|Human resource development Infrastructure development Menstrual hygiene promotion 2. Improve technical, vocational and entrepreneurship skills Research and development Internship and apprenticeship Digital skills development Human resource development Infrastructure development 3. Increased access to higher
education|Infrastructure development Human resource development Curriculum development Private sector participation promotion 4. Enhance science, technology, and innovation b) Research and development c) Curriculum development d) Industry linkages promotion e) Infrastructure development f) Digital skills development g) Partnership promotion. 6.5
DEVELOPMENT OUTCOME|2: IMPROVED
HEALTH|, FOOD AND NUTRITION To improve
health|and nutrition, the Government will focus on strengthening public
health|, increasing access to quality
health|care, promoting the participation of non-state actors in
health|care delivery, strengthening integrated
health|systems and enhancing food security and nutrition. 6.5.1
Strategy|1: Strengthen Public
Health|In the 8NDP period, the Government will devolve the provision of district
health|services to the sub-national level to enhance decision-making for effective service delivery. This will strengthen public
health|for the prevention and control of infectious diseases such as malaria, tuberculosis (TB) and HIV and AIDS, as well as NCDs. Further, interventions will be strengthened for maternal
health|care, child survival, family planning, mental
health|care, epidemic preparedness and control as well as
health|security and surveillance. The target is to reduce TB incidence and mortality rate by at least 50 percent and 75 percent, respectively, by 2026. With regard to malaria, the target is to reduce incidence and mortality from 340 cases per 1,000 persons and 8 per 100,000 persons in 2020 to 200.8 per 1,000 and 4.7 per 100,000 in 2026, respectively. The Government, further targets to reduce deaths associated with NCDs to 16 percent by 2026 from 29
Socio-economic|transformation for improved livelihoods a) Disease prevention and control b)
education|promotion c) Maternal
health|care d) Child survival development e) Family planning promotion f) Epidemic preparedness and control g) Mental
health|and substance abuse management h)
Health|security and surveillance 6.5.2
Strategy|2: Increase Access to Quality
Health|Care During the Plan period, interventions will be aimed at increasing access to quality
health|care by scaling up recruitment of
health|personnel to reduce the
health|personnel to population ratio, and ensuring availability of medicines and medical supplies. In addition, the development of climate resilient
health|infrastructure, as well as the equipping of
health|facilities, will be prioritised. Further, the national
health|insurance scheme will be rolled-out to include the informal sector. The Government will leverage on the national
health|insurance scheme to facilitate wider
health|care delivery by bringing on board more private sector providers. Measures will also be put in place to facilitate partnerships with the private sector to create centres of specialisation in the provision of
health|services. With these interventions it is expected that the client to
health|personnel ratio will reduce as follows: 3,500 persons per doctor in 2026 from 6,750 in 2020; 3,000 persons per clinical officer from 4,600; and 500 persons per nurse/midwife from 750. It is also expected that the availability of essential drugs and medical supplies will increase to at least 90 percent fill rates by 2026 from 40 percent in 2020. In addition, the proportion of hospitals with fully functional recommended equipment will improve to 85 percent by 2026 from 20 percent in 2020. Further, the national
health|insurance scheme will target to achieve universal coverage by 2026, from the 25 percent coverage recorded in 2021. a) Infrastructure development b) Medicines and medical supply chain management c) Equipment and transport procurement and maintenance d)
Health|insurance promotion e) Mobile
health|services f) Specialised
health|services g) Human resource development 6.5.3
Strategy|3: Enhance Food Security and Nutrition To enhance the nutrition status of Zambians, the Government will endeavour to eliminate all forms of malnutrition by supporting appropriate feeding practices for school children and adolescents, promoting micronutrients fortification and supplementation, and scaling-up nutrition programmes. The Government will further strengthen research in nutrition and food systems to facilitate formulation of appropriate interventions. Other interventions will focus on strengthening the institutional framework for coordination EIGHTH NATIONAL DEVELOPMENT PLAN (8NDP) 2022-2026 of national nutrition and sustainable food systems. The Food and Nutrition Act No. 3 of 2020 will be fully operationalised to enhance the implementation of the multi-sectoral response to food security and nutrition. With these interventions, it is expected that in the under-five population, underweight prevalence will reduce to 8 percent by 2026 from 12 percent in 2018, with wasting targeted to reduce to 3 percent from 4 percent during the same period. Stunting is also expected to reduce from 35 percent to 25 percent. a) Scaling-up nutrition b) Supplementary school feeding c) Nutrition institutional
governance|strengthening d) Sustainable food systems promotion e) Supplementation and micro-nutrients fortification f) Research and development g) Institutional feeding 6.5.4
Strategy|4: Strengthen integrated
health|information system During the Plan period, the Government will further strengthen the integrated
health|information system in order to improve the efficiency and effectiveness of the
health|sector. Among the programmes to be implemented will include
health|processes automation, strengthening integrated
health|care financing, integration of
health|information system and upscaling and automation of civil registration and vital statistics. a) Integrated
health|care financing b)
Health|information management system integration c) Civil registration and vital statistics automation
Socio-economic|transformation for improved livelihoods 6.6.
DEVELOPMENT OUTCOME|3: IMPROVED
WATER SUPPLY|AND SANITATION To improve access to clean and safe
water supply|and improved sanitation, the Government will promote investment in the water and sanitation sectors. The Government will, among other measures, establish a sustainable financing mechanism for the sector that will facilitate mobilisation of local and international financing for
water supply|and sanitation programmes, including through public-private partnerships. Further, the enhanced allocation of the Constituency Development Fund (CDF) will assist in accelerating investment in the water and sanitation sector. To this end, constituencies and wards will be supported in identifying areas of need for
water supply|and sanitation services as well as plan for the provision of such services to reduce developmental inequalities. 6.6.1
Strategy|1: Improve access to clean and safe
water supply|In the Plan period, the Government will prioritise the provision of clean and safe water across the country, especially in districts, constituencies and wards where there have been water deficiencies. Key measures to be implemented will include development and maintenance of
water supply|infrastructure, water quality monitoring and protection of aquifers and other water sources. The implementation of these measures is expected to lead to an increase in access to clean and safe water to 67 percent by 2026 from 58 percent in 2018 for rural areas and to 98 percent by 2026 from 91.8 percent in 2018 for urban areas. Strategies and Programmes 1. Strengthen public
health|Disease prevention and control
education|promotion Child survival development Family planning promotion Epidemic preparedness and control Mental
health|and substance abuse management h)
Health|security and surveillance 2. Increase access to quality
health|care Infrastructure development Medicines and medical supply chain management Equipment and transport procurement and maintenance
Health|insurance promotion Mobile
health|services Specialised
health|services Human resource development 3. Enhance food security and nutrition a) Scaling-up nutrition Supplementary school feeding Nutrition institutional
governance|strengthening Sustainable food systems promotion Supplementation and micro-nutrients fortification Research and development Institutional feeding 4. Strengthen integrated
health|information systems Integrated
health|care financing
Health|information management system integration Civil registration and vital statistics automation EIGHTH NATIONAL DEVELOPMENT PLAN (8NDP) 2022-2026 a) Infrastructure development and maintenance b) Water quality monitoring 6.6.2
Strategy|2: Improve Sanitation Services To improve sanitation services across the country, the Government will strengthen sewerage and solid waste management by enhancing financing to address the constraint of inadequate infrastructure and promoting sustainable sanitation practices, including personal hygiene promotion and solid waste management, With these interventions, the proportion of households with access to improved sanitation is expected to improve from 37.2 percent and 77.7 percent in 2018 to 55 percent and 90 percent in 2026 in rural and urban a) Infrastructure development and maintenance b) Solid waste management c) Sanitation and hygiene promotion d) Investment promotion Strategies and Programmes 1. Improve access to clean and safe
water supply|a) infrastructure development and maintenance b) Water quality monitoring 2. Improve Sanitation Services a) Infrastructure development and maintenance Solid waste management Sanitation and hygiene promotion 6.7
DEVELOPMENT OUTCOME|4: REDUCED POVERTY, VULNERABILITY AND To reduce poverty, vulnerability and inequality, the Government will focus on improving coordination of social protection programmes and enhancing the welfare and livelihoods of poor and vulnerable people. Measures will include mitigating violence against women and children, extending social security coverage and enhancing multi-sectoral disaster management. 6.7.1
Strategy|1: Improve Social Protection Programmes The Government will continue to harmonise and strengthen social protection delivery systems at district and community levels in order to improve efficiency in the delivery of social protection programmes and address the multiple causes of poverty and vulnerability. The Government will review and harmonise all social protection-related legislation and domesticate international and regional social protection agreements.
Socio-economic|transformation for improved livelihoods Further, to assist in planning, policy formulation and eliminate duplication in social protection programmes, the Zambia Integrated Social Protection Information System will be fully utilised. The pensions system will also be reformed to inter alia, increase coverage, enhance its effectiveness as a social safety net and make it financially sustainable. A key measure will be the creation of an occupational pension specifically for public a) Social protection integration b) Social protection reforms c) Social security coverage expansion 6.7.2
Strategy|2: Enhance Welfare and Livelihoods of Poor and Vulnerable People The Government will continue to implement programmes aimed at improving the welfare and livelihoods of people, especially the poor and vulnerable in society, including the aged and PWDs. The number of beneficiaries and the level of support offered through interventions such as SCT, food security pack and the keeping girls in school programme will be scaled-up. Further, the Government will link the SCT to other interventions and services through the “Cash Plus” Agenda. This will allow SCT beneficiaries to access additional support through programmes such as the food security pack, livelihood schemes and other public services including nutrition and early childhood support, primary and secondary
education|and skills development. The aim is to enable a more integrated approach to breaking the intergenerational cycle of poverty. In addition, the targeting and payment systems for social protection programmes including the SCT will also be strengthened. Livelihood and empowerment schemes will be decentralised to the community level to ensure provision of resources directly to constituencies and wards, with particular focus on women and the youth. This will enhance targeting of interventions to the most vulnerable communities and households. Through empowerment schemes, local businesses and service providers will also be supported with finances and market linkages, thereby stimulating the local economy. Resettlement schemes will also be used as a means of facilitating sustained empowerment of the poor and vulnerable people such as the unemployed, retired, internally displaced and PWDs. To promote the wellbeing of juveniles and reduce delinquency, Government will, among other measures, promote the development of sports, arts and culture in communities. In addition, the Government will prioritise interventions to tackle gender-based violence, teenage pregnancies, child abuse and violence against the vulnerable such as the aged, PWDs and mentally challenged persons. Concerted efforts will be made towards child protection and ending child marriages. The Government will also implement measures to rehabilitate and reintegrate street children. In implementing these interventions, the Government will sensitise beneficiaries in order to inculcate national values and principles. Further, disability services will be provided to promote access and participation of PWDs including through the provision of PWD-friendly infrastructure across all sectors. Support towards functional literacy will be scaled-up and mainstreamed in The interventions highlighted above will contribute to the reduction of poverty levels to 45 percent by 2026 from 54.4 percent in 2015. Multidimensional poverty is targeted to reduce to 38 percent by 2026 from 44 EIGHTH NATIONAL DEVELOPMENT PLAN (8NDP) 2022-2026 Livelihood and empowerment schemes decentralisation Public Welfare Assistance Scheme Sports, culture and arts development Resettlement schemes development Self-help initiatives Food security support Gender-based violence elimination 6.7.3
Strategy|3: Reduce Developmental Inequalities In an effort to reduce developmental disparities, the Government will implement interventions to address gender, income and spatial inequalities. Interventions to promote gender equality will address issues related to the participation of women in decision-making positions at all levels of
governance|and sustaining and improving gender parity in
education|. To address income inequality, livelihood and empowerment programmes will be enhanced in order to positively impact on incomes, while infrastructure development will, among others, be undertaken in different sectors to address spatial inequality. This will be targeted at accelerating implementation of various interventions including the rural electrification programme, the development and maintenance of rural access roads and enhancement of access to other basic services, such as
health|and
education|. Other measures that will be implemented in the Plan period, such as decentralisation and enforcement of the rule of law will also contribute to reducing developmental inequalities. With these interventions, a reduction in income inequality is expected, with the Gini coefficient targeted to decrease to at least 0.54 in 2026 from 0.69 in 2015. b) Integrated development planning c) Rural roads connectivity d) Rural industrialisation e) Life skills development and resilience building f) Rural electrification g) Youth entrepreneurship and vocational skills training 6.7.4
Strategy|4: Increase Access to Decent and Affordable Housing To increase access to decent and affordable housing for all, the Government will facilitate the provision of affordable housing finance, provide incentives for private sector participation and promote investments in research on alternative building materials and technologies. Consequently, during the Plan period, the housing deficit is expected to reduce from 1,539,000 in 2021 to 1,378,000 housing units in 2026.
Socio-economic|transformation for improved livelihoods a) Housing sector reforms b) Public and social housing c) Settlement improvement e) Research and development 6.7.5
Strategy|5: Reduce Vulnerability Associated with HIV and AIDS The Government’s
strategy|in the 8NDP period will be to reduce the national HIV and AIDS incidence and prevalence. Accordingly, the Government will endeavour to implement programmes that will accelerate HIV testing and treatment to ensure viral load suppression, eliminate stigma and discrimination and increase domestic investments and resource mobilisation towards HIV and AIDS. This commitment aims at achieving the 95-95-95 treatment targets by 2026. This means that 95 percent of people living with HIV will know their status, 95 percent of people tested positive for HIV will have access to treatment services and 95 percent of people on antiretroviral treatment will achieve HIV viral load suppression. a) HIV testing and treatment b) Stigma and discrimination reduction c) HIV and AIDS financing Strategies and Programmes 1. IImprove social protection programmes a) Social protection integration Social protection reforms Social security coverage expansion 2. Enhance welfare and livelihoods of poor and vulnerable people Livelihood and empowerment schemes decentralisation Public Welfare Assistance Scheme Sports, culture and arts development Resettlement schemes development Self-help initiatives Food security support Gender-based violence elimination 3. Reduce developmental inequalities a) Gender equality b) Integrated development planning c) Rural roads connectivity d) Rural industrialisation e) Life skills development and resilience building f) Rural electrification g) Youth entrepreneurship and vocational skills training 4. Increase access to decent and affordable housing a) Housing sector reforms b) Public and social housing c) Settlement improvement d) Housing finance e) Research and development 5. Reduce vulnerability associated with HIV and AIDS a) HIV testing and treatment b) Stigma and discrimination reduction c) HIV and AIDS financing EIGHTH NATIONAL DEVELOPMENT PLAN (8NDP) 2022-2026 7. STRATEGIC DEVELOPMENT AREA 3: ENVIRONMENTAL SUSTAINABILITY Zambia’s vision of attaining a prosperous middle-income status by 2030 emphasises development that is anchored on sustainable environment, ecosystems and natural resource management principles. This means attainment of
socio-economic|development which meets the needs of the current generation without compromising the ability of future generations to meet their own needs. This is also in line with the 2030 Agenda on Sustainable Development, the AU Agenda 2063 and the RISDP under SADC. 7.2 CURRENT SITUATION Unsustainable exploitation of natural resources in Zambia is evidenced through deforestation and forest degradation, land degradation, encroachment of protected areas, unsustainable fishing, loss of biodiversity, unsustainable production and consumption patterns, and uncontrolled human settlements, among others. Land cover maps for the years 2000 to 2015 show that human activities such as expansion of settlements and land under
